Departamento,Barrio/Localidad,Organización,Actividad/es,Necesidades,Número de contacto,Otro contacto,Dirección,Horario,Aclaraciones Adicionales,Cuenta Banco,Coordenada Latitud,Coordenada Longitud
Montevideo,Lezica,Iniciativa Vecinal,Olla,Se reciben donaciones,096262971 096021742 ,,Colman y Pororó,20 Hs.,,,-34.792582,-56.235909
Montevideo,Villa Española,Iniciativa vecinal,Olla,"Pulpa de tomate, lentejas, tapabocas, guantes",099527443,,Antel Arena (D.A. Larrañaga y Serrato),Viernes de 20 a 21:30 hs,Reciben  donaciones en Robinson 3367 de 8 a 15 hs,,-34.861812,-56.151720
Montevideo,Cachimba,Iniciativa Vecinal,Olla,"Se reciben donaciones, alimentos no perecederos para olla popular",094954016,,Gregorio Camino Esq. Heredia,"Lunes a Domingos, durante el día",,,-34.863601,-56.241099
Montevideo,Nuevo París,Cooperativa Covijave 2,Olla,Se reciben donaciones,No corresponde,,Calle Pública 1153 esq Islas Canarias ,13 Hs.,,,-34.833174,-56.236877
Montevideo,Boyada,Iniciativa Vecinal,Merienda,"Se da Merienda a niñes barrio La Boyada, se reciben toda clase de donaciones",092 912 571,,La Boyada,"Lunes a Domingos, de tarde","Dirigida a familias, de acuerdo a donaciones se van haciendo las meriendas.",,-34.858529,-56.252890
Montevideo,Seis de Diciembre,Iniciativa Vecinal,Merienda,Se reciben toda clase de donaciones para brindar merienda,092085983,,Tomás Gonzalez Padrón 5530,"Lunes a Domingos, de tarde","Dirigida a familias, de acuerdo a donaciones se van haciendo las meriendas.",,-34.835480,-56.231824
Montevideo,Villa Muñoz,Rotisería El Garrison,Merienda,Donaciones,92310955,,Domingo Aramburú 1840 esquina Democracia,Todos los días 8:00 a 11:00 y 18:00 a 19:30,Café con leche y tostadas con manteca,,-34.883776,-56.177937
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,097992973 - 099239735,,Bolivia esq. Instrucciones del Año XIII,,,,-34.728199,-56.231492
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,094827612 (María),,Complejo Libertad - Vivienda 34 D - La Pilarica,,,,-34.741532,-56.217687
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,094637367 - 092327637,,Curva de Carlos Gardel - La Pilarica,,,,-34.744686,-56.218623
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,096117341 (Sheila Rodríguez),,Frente al Castillo de La Pilarica,,,,-34.742913,-56.215658
Canelones,Las Piedras,JFA,Olla,Se reciben donaciones,092150814 - 092056943,,Sin espacio físico específico,,,,No corresponde,No corresponde
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,091600910 (Daniela) - 098907825,,Manuel Meléndez 808 esq. Dr. Pouey,,,,-34.735336,-56.223517
Canelones,Las Piedras,C.A. Juventud de Las Piedras.,Olla,Se reciben donaciones,098729120,,Sin espacio físico específico,,,,No corresponde,No corresponde
Canelones,Las Piedras,Club de Niños/as Trampolines (ONG El Abrojo),Olla,Se reciben donaciones, 099699322,,Wilson Ferreira Aldunate esq. Espínola,Lunes a Viernes de 9 a 15hs,,,-34.724286,-56.220505
Canelones,Las Piedras,Centro Juvenil Mandalavos (ONG El Abrojo),Olla,Se reciben donaciones,094922782,,Instrucciones del Año XIII esq. Garibaldi,Lunes a Viernes de 11 a 15hs,,,-34.727949,-56.218154
Canelones,Las Piedras,Oratorio y Centro Juvenil El Carmen (Salesianos),Olla,Se reciben donaciones,096101665 - 098942185,,Treinta y Tres esq. Wilson Ferreira Aldunate,,,,-34.724370,-56.222912
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,096104551 - 091036615,,Leandro Gómez y Canelones,,,,-34.723162,-56.215032
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,093925021 - 095014751,,Treinta y Tres 4121 entre Juan y Ramón Ortíz,,,,-34.729917,-56.222665
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,093714093,,Frente a la Escuela 173 (Campisteguy),,,,-34.712175,-56.205557
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,095610063 - 093763288,,Sin espacio físico específico,Lunes a Viernes:meriendas. Sábados y domingos: Olla Popular.,También arman canastas,,No corresponde,No corresponde
Canelones,Las Piedras,Cté de Base Félix Vidarte,Canasta,Se reciben donaciones,095496658,,Rep. Argentina esq. Pando,Se recepciona martes y jueves de 19 a 21hs,,,-34.722210,-56.209543
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,091272045,,Esínola 692 esq. Baltasar Brum,,,,-34.729763,-56.220494
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,096258961,,Pando esq. Rep. Argentina,,,,-34.721756,-56.209342
Canelones,Las Piedras,Plenario Intersindical de Las Piedras (PIT-CNT),Olla,Se reciben donaciones,095211684 (Sebastián Remedios),,Leandro Gómez 589 esq. Av. Artigas,Recepción de donaciones de Lunes a Viernes:  10 a 13 hs.,,,-34.726470,-56.214840
Canelones,Las Piedras,Iniciativa vecinal,Olla,Se reciben donaciones,095647959,,Sin espacio físico específico,,,,No corresponde,No corresponde
Canelones,La Paz,C.S. y D. La Bomba,Olla,Se reciben donaciones,098874147 - 097505521,,Sede C.S. y D. La Bomba,Se reciben donaciones Lunes y Miercoles 19 hs.,,,-34.744713,-56.226174
Canelones,Progreso,Progreso Solidario,Canasta,Se reciben donaciones,099472132 - 095903271,,Sin espacio físico específico,,,,No corresponde,No corresponde
Canelones,Canelones,Iniciativa vecinal,Olla,Se reciben donaciones,cel: 091950027,,Calle Ancha esq. Monegal,,Donaciones se coordinan al contacto o se entregan en la dirección,,-34.529488,-56.276141
Montevideo,No corresponde,REDALCO,Punto de Donación,Dinero para entregar canastas de verduras y frutas,No corresponde,,No corresponde,No corresponde,Con cada donación de $500 se colabora con 18 kg de frutas y verduras aportando 50 platos sanos y nutritivos para llevar a aquellas familias que en este contexto de emergencia necesitan.,BROU 00178550600001,No corresponde,No corresponde
Paysandú,Paysandú,Iniciativa vecinal,Olla,Alimentos y donaciones,096 121 815,,Coordinar telefónicamente,,Llevar tupper,,No corresponde,No corresponde
Montevideo,Los Bulevares,"Ferretería ""El Destino""",Punto de Donación,Se reciben donaciones para olla del barrio,23155207,,Ideario Artiguista 1865,Consultar telefónicamente,Consultar telefónicamente,,-34.820747,-56.279499
Maldonado,Centro,Frente Amplio Casa Central,Punto de Donación,Alimentos no perecederos y artículos de limpieza,DANIELA: 098995491,,AV. LUIS BATLLE Y ORDOÑEZ 1213,Lunes a Viernes 10:00 a 12:00 y 16:00 a 18:00,,,-34.901553,-54.953859
Maldonado,San Carlos,Colón F.C. y Los Fantasmas se Divierten,Olla,"VERDURAS, FIDEOS, ARROZ, CARNE, PULPA DE TOMATE",095550320,,SEDE DE COLON F.C.: AGUSTIN ABREU CASI 25 DE AGOSTO,Todos los días 19:00 a 21:00,RECIBEN DONACIONES DE 17:00 A 19:00 Y RETIRAN A DOMICILIO,,-34.790891,-54.925472
Maldonado,Centro,Intersindical Maldonado,Olla,Alimentos,42247611,,ZELMAR MICHELINI 775,Todos los días,Llevar recipiente,,-34.909471, -54.960944
Maldonado,Centro,AUTE,Punto de Donación,Alimentos y artículos de limpieza,42247611,,ZELMAR MICHELINI 775 ,Lunes a Viernes 09:00 a 17:00,,,-34.909471,-54.960944
Maldonado,Centro,ADEOM,Punto de Donación,Alimentos y artículos de limpieza,42225816,,ADEOM MALDONADO ROMAN GUERRA ESQUINA ITUZAINGO,Lunes a Viernes 10:00 a 16:00,,,-34.906991,-54.956818
Maldonado,Centro,AFUC,Punto de Donación,Alimentos y artículos de limpieza,094500851,,AFUC SANTA TERESA CASI 3 DE FEBRERO,Martes a Viernes 13:00 a 16:00,,,-34.912280,-54953098
Maldonado,Barrio 14 de febrero,Jornada Solidaria,Olla,"Alimentos, artículos de limpieza, ropa",ROMINA: 095566398,,FRENTE A CANCHA DE BABY BARCELONA,,"Llevar recipiente, bolsa para el pan, botella para la leche. Retiran donaciones a domicilio",,-34.898772, -54.932494
Maldonado,La Capuera,Olla Comunitaria,Olla,"Fideos, arroz, pulpa de tomate, aceite, porotos y lentejas",092817617,,PARADA 9 CALLE LAS VIBORAS. EL NIDO.,Sábados y Domingos 12:00,,,-34.848077,-55.121122
Rocha,Barra de Chuy,Iniciativa Vecinal,Olla,Se reciben alimentos no perecederos.,091 362 750,,No corresponde,Durante el día,Contactar vía telefónica para solicitar apoyo.,,No corresponde,No corresponde
Montevideo,Monarca,Iniciativa Vecinal,Olla,"Olla popular, se reciben alimentos no perecederos.",094649196,,"Salón comunal Barrio Monarca; al lado de la Policlínica, en la calle Pasaje Central y la Calle 4, cerca de ruta 8.  ",Lunes a viernes a partir de las 19:30,,,-34.777351,-56.034812
Montevideo,Villa García,Club los Zorzales,Merienda,"Merienda y olla popular, se recibe comestibles no perecederos para brindar merienda.",094649196,,"Club los Zorzales, Ruta 8 Brigadier Gral Juan Antonio Lavalleja.",Lunes a viernes a partir de las 17:30 y sábado y domingos a partir de 13:00 hrs,"Olla popular sábado y domingo, merienda de lunes a viernes.",,-34.775011,-56.053691
San José,Playa Pascual,Profes del liceo de Playa,Punto de Donación,Reciben donaciones,092 983 301,,Río de la Plata esquina Carlos Reyles (Comisión Vecinal Playa Pascual),"Lunes, Miércoles y Viernes de 12 a 13.30 hs.",,,-34.742651,-56.450938
Montevideo,Cerro,OLLA POPULAR - Vecines,Olla,Reciben donaciones,No corresponde,,Grecia esq. Barcelona,,,,-34.888465,-56.248529
Canelones,Montes de Solymar,Centro Juvenil Coop. Tunguele,Punto de Donación,Reciben alimentos y productos de higiene,099 668 862  Majo 091785537,,Coordinar telefónicamente,,Se reciben alimentos y art. de limpieza para familias que los necesiten.,,No corresponde,No corresponde
Colonia,Nueva Helvecia,Iniciativa Vecinal,Olla,Reciben donaciones,091 471 165,,Av Gilomen 1448,Entrega de viandas A partir de 21 hs,,,-34.281476,-57.232017
Canelones,Ciudad de la Costa,Mujeres en Alerta,Olla,"Alimentos, productos de higiene, juegos/juguetes",091786159 Sofía - 094972263 Karen,,Becú y Av. Giannattasio (Plaza 8 de Marzo),,Comunicarse antes por teléfono para anotarse para comidas,,-34.835412,-55.982526
Canelones,Sauce,Club Sportivo Artigas,Olla,Se reciben alimentos y donaciones hasta el 03/04,099240201 092487833,,Ruta 6 km 34.500,Sábado 4 de abril - 19.30 hs,Llevar tupper,,-34.653893,-56.065005
Maldonado,Centro,Colegio de Abogados,Punto de Donación,"Artículos de limpieza: hipoclorito, jabón, detergente",094430878 (Maldonado) 099906158 (San Carlos) 099281600 (Pan de Azúcar),094195481 (Maldonado),EDIFICIO SAN LAZARO SARANDI CASI LEDESMA,Lunes a Viernes 14:00 a 16:30,RECIBEN Y RETIRAN A DOMICILIO EN MALDONADO Y SAN CARLOS,,-34.913805,-54.957398
Maldonado,Balneario Buenos Aires,Iniciativa Vecinal,Olla,Alimentos,099080813,,CALLE 34 ESQUINA CALLE 49,Todos los días 20:00 a 21:00,LLEVAR RECIPIENTE. PERSONAS MAYORES DE 65 AÑOS PUEDE COMUNICARSE Y SE ENVIA A DOMICILIO,,-34.885393,-54.789904
Montevideo,Manga,Complejo Manga Chico km16,Olla,"Fideos, arroz, verduras, pan, leche, carne",098 047 693 Adriana Ferreira,,Pasaje P esquina Justo José Alonso  ,,Se realizan las ollas acorde a donaciones,,-34.803322,-56.079964
Montevideo,Peñarol,Movimiento Barrial Solidario,Olla,Se reciben donaciones,099783722,,Aparicio Saravia y Coronel Raiz,Lunes 18hs Miercoles 18hs y Sábados 12hs,"Hacen bonos de colaboración para colaborar con la compra de los artículos que más se necesitan (gas, huevo y carnes, productos de limpieza)",,-34.827195,-56.200514
Montevideo,Paso Carrasco,Paso Carrasco Solidario,Olla,Se reciben donaciones,No corresponde,,Avda del Lago y Camino Carrasco,Martes 11hs,Llevar recipiente,,-34.860699,-56.052386
San José,Playa Pascual,Iniciativa Vecinal,Olla,Se reciben donaciones,099146941,,Consultar telefónicamente,Lunes Miércoles y Viernes 12 a 13:30,,,No corresponde,No corresponde
Canelones,Atlántida,Club Progreso - Estación Atlántida,Olla,Se reciben donaciones,098047394,,"Avenida Monseñor José Orsali, esquina Calle 41 (frente a carnicería progreso)",12:30 a 14hs,"Vianda solidaria desde 12:30 hasta 14hs,  anotarse previamente por telefono, llevar recipiente",,-34.743054,-55.765610
Colonia,Rosario,Viandas a domicilio,Canasta,Se reciben donaciones,099550034,,No aplica,,Comunicarse telefónicamente por viandas a domicilio,,No corresponde,No corresponde
Montevideo,Centro,Teatro El Galpón,Punto de Donación,Reciben alimentos no perecederos y productos de limpieza,24083366,,18 de julio 1618,10 a 19hs,,,-34.903853,-56.181213
Canelones,Pinamar,Comité Victor Deri,Canasta,Se reciben donaciones,095639475 - 097530556,,No aplica,"Se va a buscar Martes, Jueves y Sábados de 17 a 19",,,No corresponde,No corresponde
Montevideo,No corresponde,Asociación de Familiares y Víctimas de la Delincuencia,Canasta,Reciben productos no perecederos y de limpieza,098989724,096227593,No aplica,,"Mandar mensaje por whatsapp con: nombre completo, dirección, barrio, donación a realizar, días y horarios a retirar.",,No corresponde,No corresponde
Montevideo,No corresponde,Mesa de Trabajo sober Mujeres Privadas de Libertad,Punto de Donación,"Se necesitan frazadas para pasar el invierno y productos de higiene personal (jabón de baño, jabón de lavar, shampoo, crema de enjuage, toallas higiénicas, pañales)",097546731,,No aplica,,"La Mesa de Trabajo sobre Mujeres Privadas de Libertad está solicitando colaboración para cubrir las necesidades de 650 mujeres, algunas de ellas con hijas e hijos, que se encuentran privadas de libertad.",,No corresponde,No corresponde
Colonia,Juan Lacaze,Juan Lacaze Deportes,Olla,Reciben donaciones,095314901,091690041 091685963 099076206 098942914,CUOPYC José Pedro Varela y Puerto Sauce,Sábados,"Entregan vianda, 1 litro de agua jane y 2 jabones",,"-34.436206,",-57.439199
Colonia,Juan Lacaze,AFUTU Regional Colonia,Punto de Donación,"Canasta básica: Arroz, Aceite, Fideos, Azúcar, Cocoa, Salsa de Tomates, Harina, Grasa, Ph, Hipoclorito, Jabón neutro o antibacterial.",092252890 098942914,,Comunicarse telefónicamente y pasan a retirar la donación,,Donaciones para repartir a las familias de estudiantes en situación más vulnerable.,,No corresponde,No corresponde
Montevideo,Paso de las Duranas,Olla Popular COVIESSU,Olla,Reciben donaciones de 17 a 20hs,"094259028 (Fátima), 099462986 (Florencio), 093815676 (Leonardo)",,Duque de los Abruzos esquina Domingo Torres (ex Club La Espada),Sábados y Domingos 19:30hs,Llevar vianda,,-34.848599, -56.207023
Montevideo,Cerro,Anfiteatro Fortaleza,Olla,Se reciben donaciones,096398305 Juan Carlos,,Holanda y Dinamarca,Lunes a Domingo 20:30 hs,,,-34.886363,-56.261391
Montevideo,Santa Catalina,Merendero San Martín,Merienda,Se reciben donaciones,098357287 Miguelina,,Los Transparentes 301,"Lunes a Domingo. Lunes a Jueves 15hs, Viernes a Domingo 18hs.",,,-34.891037,-56.290820
